n_atoms,nsamples,time,time_per_sample,memory,method
4,3,102.6982421875,34.232747395833336,246.064128,prediction
4,3,492.1065979003906,164.03553263346353,338.582016,autograd
5,9,291.3861083984375,32.37623426649306,293.925888,prediction
5,9,1739.3817138671875,193.26463487413196,363.805184,autograd
6,10,327.07379150390625,32.70737915039062,308.63872,prediction
6,10,2374.742919921875,237.4742919921875,393.333248,autograd
7,10,339.6856384277344,33.968563842773435,325.508096,prediction
7,10,2716.501953125,271.6501953125,426.131968,autograd
8,10,341.0399475097656,34.10399475097656,344.842752,prediction
8,10,3016.67626953125,301.667626953125,465.340928,autograd
9,10,352.2702941894531,35.227029418945314,365.67808,prediction
9,10,3369.584716796875,336.9584716796875,502.746112,autograd
10,10,348.2115478515625,34.82115478515625,389.681664,prediction
10,10,3803.86474609375,380.386474609375,556.203008,autograd
11,10,354.4217529296875,35.44217529296875,418.957312,prediction
11,10,4027.79345703125,402.779345703125,607.949312,autograd
12,10,357.0554504394531,35.705545043945314,447.890944,prediction
12,10,4486.91259765625,448.691259765625,661.878784,autograd
13,10,376.19915771484375,37.61991577148437,482.520064,prediction
13,10,4752.45068359375,475.245068359375,714.180096,autograd
14,10,373.6780700683594,37.36780700683594,510.1568,prediction
14,10,5122.89111328125,512.289111328125,777.900032,autograd
15,10,390.1982727050781,39.01982727050781,545.099264,prediction
15,10,5560.71337890625,556.071337890625,847.684096,autograd
16,10,390.9223937988281,39.09223937988281,585.741312,prediction
16,10,6411.43701171875,641.143701171875,915.99872,autograd
17,10,411.4790344238281,41.14790344238281,626.240512,prediction
17,10,7453.23193359375,745.323193359375,986.94912,autograd
18,10,418.68804931640625,41.868804931640625,664.156672,prediction
18,10,8597.6748046875,859.76748046875,1063.109632,autograd
19,10,437.3946838378906,43.73946838378906,710.186496,prediction
19,10,9821.380859375,982.1380859375,1148.196864,autograd
20,10,453.17132568359375,45.317132568359376,755.358208,prediction
20,10,11193.2119140625,1119.32119140625,1216.2304,autograd
21,10,462.9258117675781,46.292581176757814,800.917504,prediction
21,10,12599.5234375,1259.95234375,1316.77184,autograd
22,10,465.21942138671875,46.521942138671875,855.430656,prediction
22,10,14159.9736328125,1415.99736328125,1407.64416,autograd
23,10,479.5207824707031,47.95207824707031,905.360896,prediction
23,10,15960.544921875,1596.0544921875,1496.064512,autograd
24,10,506.102783203125,50.6102783203125,963.072512,prediction
24,10,17896.85546875,1789.685546875,1599.377408,autograd
25,10,521.1934814453125,52.11934814453125,1021.02528,prediction
25,10,19917.185546875,1991.7185546875,1710.849024,autograd
26,10,538.7783813476562,53.877838134765625,1086.848,prediction
26,10,22074.95703125,2207.495703125,1816.217088,autograd
27,10,559.6243896484375,55.96243896484375,1143.189504,prediction
27,10,24319.787109375,2431.9787109375,1922.085888,autograd
28,10,578.4688720703125,57.84688720703125,1211.617792,prediction
28,10,26826.44140625,2682.644140625,2032.782336,autograd
29,10,597.8961791992188,59.789617919921874,1267.326976,prediction
29,10,29587.0234375,2958.70234375,2144.723968,autograd
30,10,619.9818115234375,61.99818115234375,1340.893184,prediction
30,10,32391.3984375,3239.13984375,2269.661184,autograd
31,10,639.5955200195312,63.95955200195313,1403.840512,prediction
31,10,35529.41796875,3552.941796875,2395.703808,autograd
32,10,671.2924194335938,67.12924194335938,1482.827776,prediction
32,10,38667.77734375,3866.777734375,2521.901568,autograd
33,3,348.23870849609375,116.07956949869792,1560.011776,prediction
33,3,12683.4677734375,4227.822591145833,2655.370752,autograd
